word,entity,sym
商米,company,商米
商米科技,company,商米
提供,action,提供
支付方式,method,支付方式
支付方法,method,支付方式
支付通道,method,支付通道
支付渠道,method,支付通道
商户资金,property,商户资金
商家资金,property,商户资金
结算,action,结算
商户,subject,商户
商家,subject,商户
开通,action,开通
刷脸支付,method,刷脸支付
提交,action,提交
资料,object,资料
成功,action,成功
到账,action,到账
商户结算款,property,商户结算款
商家结算款,property,商户结算款
时效,time,时效
节假日,time,节假日
申请,action,申请
即时到账,action,即时到账
额度,property,额度
限额,property,额度
限制,action,限制
交易,action,交易
即时,time,即时
T+1,time,T+1
T+1日,time,T+1
结算,action,结算
T日,time,T日
结算款,property,结算款
当天,time,当天
退款,action,退款
客户,subject,客户
款项,property,款项
退还,action,退还
扫码,action,扫码
费率,property,费率
进件小程序,object,进件小程序
小程序,object,小程序
填写,action,填写
填写,action,填写
写,action,填写
上限,property,上限
小微商家,subject,小微商户
小微商户,subject,小微商户
结算账户,account,结算账户
结算账号,account,结算账户
变更,action,变更
他人银行卡,account,他人银行卡
银行卡,account,银行卡
修改,action,修改
法人同名结算卡,account,法人同名结算卡
结算卡,account,结算卡
企业商户,subject,企业商户
非法人结算账号,account,非法人结算账号
非法人结算账户,account,非法人结算账号
公同名结算账户,account,公同名结算账户
公同名结算账号,account,公同名结算账户
法人同名银行卡结算,method,法人同名银行卡结算
非法人银行卡结算,method,非法人银行卡结算
个体工商户,subject,个体工商户
进件,action,进件
结算信息,information,结算信息
变更,action,变更
时间,time,时间
对私结算银行卡,account,对私结算银行卡
使用,action,使用
信用卡,account,信用卡
扫码额度,property,扫码额度
提额申请,action,提额申请
静态码牌,object,静态码牌
收银管家,object,收银管家
公众号支付,method,公众号支付
小程序支付,method,小程序支付
线上支付,method,线上支付
在线支付,method,线上支付
盛付通,object,盛付通
C扫B,action,C扫B
服务商,subject,服务商
查询,action,查询
查看,action,查看
商户信息,information,商户信息
商家信息,information,商户信息
交易数据,information,交易数据
交易记录,information,交易记录
扣除,action,扣除
扣掉,action,扣除
除去,action,扣除
手续费,cost,手续费
款项,property,款项
结算,action,结算
明细,information,明细
账号,account,账号密码
账号,account,账号
密码,account,密码
后台,object,后台
蓝海绿洲,subject,蓝海绿洲
到账时效,time,到账时效
分润,property,分润
医院,subject,医院
公立学校,subject,公立学校
零费率,cost,0费率
预授权,property,预授权
微信,method,微信
支付宝,method,支付宝
手续费发票,property,手续费发票
审核时长,time,审核时长
开票周期,time,开票周期
开票申请,action,开票申请
收到,action,收到
发票,receipt,发票
对账,action,对账
调单,action,调单
提交,action,提交
费用,cost,费用
设备打印小票,receipt,设备打印小票
小票,receipt,小票
门店名称,object,门店名称
店铺名称,object,门店名称
商户名称,object,门店名称
商家名称,object,门店名称
下载,action,下载
收银台,facility,收银台
金融设备,facility,金融设备
